date,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
2015-02-04 17:51:00,23.18,27.272,426,721.25,0.004792988176505,1
2015-02-04 17:51:59,23.15,27.2675,429.5,714,0.004783440949311,1
2015-02-04 17:53:00,23.15,27.245,426,713.5,0.004779463524422,1
2015-02-04 17:54:00,23.15,27.2,426,708.25,0.004771508826082,1
2015-02-04 17:55:00,23.1,27.2,426,704.5,0.004756992933315,1
2015-02-04 17:55:59,23.1,27.2,419,701,0.004756992933315,1
2015-02-04 17:57:00,23.1,27.2,419,701.666666666667,0.004756992933315,1
2015-02-04 17:57:59,23.1,27.2,419,699,0.004756992933315,1
2015-02-04 17:58:59,23.1,27.2,419,689.333333333333,0.004756992933315,1
2015-02-04 18:00:00,23.075,27.175,419,688,0.004745350719667,1
2015-02-04 18:01:00,23.075,27.15,419,690.25,0.004740951896943,1
2015-02-04 18:02:00,23.1,27.1,419,691,0.004739370730521,1
2015-02-04 18:03:00,23.1,27.1666666666667,419,683.5,0.00475111875561,1
2015-02-04 18:04:00,23.05,27.15,419,687.5,0.004733731797083,1
2015-02-04 18:04:59,23,27.125,419,686,0.004714942145905,1
2015-02-04 18:06:00,23,27.125,418.5,680.5,0.004714942145905,1
2015-02-04 18:07:00,23,27.2,0,681.5,0.004728077949669,0
2015-02-04 18:08:00,22.945,27.29,0,685,0.004727951371781,0
2015-02-04 18:08:59,22.945,27.39,0,685,0.004745408397094,0
2015-02-04 18:10:00,22.89,27.39,0,689,0.00472950615591,0
2015-02-04 18:10:59,22.89,27.39,0,689.5,0.00472950615591,0
2015-02-04 18:11:59,22.89,27.39,0,689,0.00472950615591,0
2015-02-04 18:13:00,22.89,27.445,0,691,0.004739075514747,0
2015-02-04 18:14:00,22.89,27.5,0,688,0.004748645165811,0
2015-02-04 18:15:00,22.89,27.5,0,689.5,0.004748645165811,0
2015-02-04 18:16:00,22.79,27.445,0,689,0.004710224046806,0
2015-02-04 18:16:59,22.79,27.5,0,685.666666666667,0.00471973499915,0
2015-02-04 18:17:59,22.79,27.5,0,687,0.00471973499915,0
2015-02-04 18:19:00,22.79,27.5,0,688,0.00471973499915,0
2015-02-04 18:20:00,22.745,27.5,0,670,0.004706776158049,0
2015-02-04 18:21:00,22.7,27.4633333333333,0,668.666666666667,0.004687543083844,0
2015-02-04 18:22:00,22.7,27.5,0,670,0.004693848714108,0
2015-02-04 18:23:00,22.7,27.5,0,667,0.004693848714108,0
2015-02-04 18:23:59,22.6666666666667,27.4266666666667,0,664.5,0.004671707764618,0
2015-02-04 18:24:59,22.7,27.6,0,670,0.004711046532523,0
2015-02-04 18:26:00,22.6,27.4266666666667,0,670.333333333333,0.004652699458698,0
2015-02-04 18:27:00,22.6,27.39,0,672,0.004646432806535,0
2015-02-04 18:28:00,22.6,27.3566666666667,0,658,0.004640735958784,0
2015-02-04 18:29:00,22.6,27.445,0,660.5,0.004655832831781,0
2015-02-04 18:29:59,22.6,27.4266666666667,0,658,0.004652699458698,0
2015-02-04 18:30:59,22.6,27.445,0,655,0.004655832831781,0
2015-02-04 18:32:00,22.6,27.445,0,654.25,0.004655832831781,0
2015-02-04 18:33:00,22.6,27.39,0,648,0.004646432806535,0
2015-02-04 18:34:00,22.5,27.3233333333333,0,648.666666666667,0.004606763202978,0
2015-02-04 18:35:00,22.5,27.445,0,646,0.004627429032145,0
2015-02-04 18:36:00,22.5,27.5,0,646,0.004636771566698,0
2015-02-04 18:36:59,22.5,27.445,0,641.5,0.004627429032145,0
2015-02-04 18:38:00,22.39,27.29,0,639,0.004570212087991,0
2015-02-04 18:39:00,22.5,27.5,0,640,0.004636771566698,0
2015-02-04 18:40:00,22.39,27.34,0,630.5,0.00457864714514,0
2015-02-04 18:40:59,22.39,27.3566666666667,0,629.333333333333,0.004581458881325,0
2015-02-04 18:42:00,22.39,27.5,0,632,0.004605640854261,0
